â„–;TextLen;TempLen;Iter;Time;posFound
51;4083;9;388;41041;2771
52;631;5;115;14375;495
53;3575;6;571;58375;2854
54;596;9;66;9250;364
55;3507;8;173;19916;1052
56;9843;2;775;80583;1469
57;5685;3;1740;171333;4782
58;8398;8;445;47250;3052
59;3314;4;420;44208;1542
60;291;5;13;4334;19
61;8207;1;49;9041;48
62;4583;6;833;83584;4464
63;4955;7;179;21000;1030
64;8365;7;436;44750;2558
65;2201;5;162;18583;678
66;4538;6;634;64542;3298
67;4281;3;175;20000;466
68;2729;2;110;14042;202
69;5089;1;137;16334;136
70;131;8;19;4708;27
71;4948;7;563;57458;3359
72;6066;6;522;54250;2670
73;8329;2;109;13666;206
74;8233;4;1674;165917;6081
75;2565;3;672;68209;1829
76;4034;2;192;22416;366
77;3043;10;385;41000;2986
78;6308;5;193;22958;829
79;9712;10;750;75416;5993
80;2586;2;57;9167;105
81;8042;6;1515;147583;7798
82;8896;5;879;89542;3822
83;8670;1;156;19542;155
84;3447;7;182;21583;1043
85;7383;10;278;29375;1916
86;1037;10;107;12875;730
87;9105;4;2465;241709;8945
88;4443;10;526;54000;4127
89;9771;5;2062;204584;9087
90;730;1;24;5625;23
91;4102;7;357;37292;2103
92;3887;3;181;21083;500
93;8264;2;385;40750;731
94;5554;8;638;120959;4258
95;4035;1;5;4166;4
96;8400;5;1576;155708;6994
97;3206;7;538;55500;3114
98;1477;7;64;9750;325
99;3991;8;306;31917;1844
100;3344;8;358;49083;2293
